-19.8,NaN,-12.58,NaN,-9.44,-8.88,-7.84,NaN,-5.65,NaN,-3.03,-1.8,0.289999999999999,2.42,3.82,4.87,NaN,7.28
NaN,-13.54,-12.46,-10.46,-9.53,-8.76,-7.72,-6.68,-5.13,-4.59,-3.35,-1.72,0.25,2.82,4.08,5.23,NaN,NaN
NaN,-13.83,-12.67,NaN,-9.59,-8.7,-7.87,-6.69,-5.57,-4.52,-3.25,-1.82,0.129999999999999,NaN,NaN,4.95,6.63,7.19
NaN,-13.91,-12.38,-10.58,-9.55,-8.66,-7.79,-6.37,-5.15,-4.45,-3.15,-2.03,0.309999999999999,2.88,3.87,5.25,6.62,NaN
-19.8,-13.53,-12.43,-11.04,-9.78,-8.42,NaN,-6.48,-5.53,-4.54,-3.3,-2.02,0.239999999999998,2.31,4.11,4.81,NaN,7.28
NaN,-13.91,-12.54,-10.68,-9.69,NaN,-7.84,-6.69,-5.61,-4.49,NaN,-1.94,0.199999999999999,2.82,NaN,4.91,6.64,7.26
-19.8,-13.54,NaN,-11.07,NaN,NaN,-7.77,-6.39,NaN,-4.7,-3.26,-1.46,0.359999999999999,NaN,4.12,5.14,NaN,7.28
NaN,-13.82,-12.33,NaN,-9.37,NaN,-7.88,-6.48,-5.11,NaN,-3.21,NaN,0.140000000000001,2.24,4.06,NaN,6.63,7.19
-19.8,-13.86,-12.5,NaN,-9.65,NaN,-7.65,NaN,-5.61,-4.39,-3.34,-1.95,NaN,2.74,4.17,4.82,6.62,NaN
-19.8,NaN,-12.57,NaN,-9.59,-8.68,-7.84,-6.44,-5.43,NaN,-3.14,-1.75,0.25,NaN,NaN,4.83,NaN,7.28
-19.8,-13.53,-12.52,-10.51,-9.51,-8.74,-7.64,-6.53,-5.44,-4.6,-3.12,-1.84,0.239999999999998,2.68,4.3,4.83,NaN,7.28
-19.8,-13.83,-12.52,-10.6,-9.59,-8.42,NaN,NaN,-5.54,NaN,-3.17,-1.92,0.359999999999999,2.06,3.81,5.15,6.63,7.19
-19.8,NaN,-12.59,NaN,-9.67,-8.5,-7.82,-6.48,-5.51,-4.54,-3.23,-1.9,0.34,2.57,4.2,NaN,NaN,7.28
-19.8,-13.91,-12.74,NaN,-9.48,NaN,-8,-6.54,-5.67,-4.43,-3.29,NaN,0.280000000000001,NaN,4.23,5.01,6.64,7.26
-19.8,-13.47,-12.58,NaN,-9.45,NaN,-7.92,-6.12,NaN,-4.99,-3.24,-1.83,0.370000000000001,2.61,4.22,NaN,NaN,7.28
NaN,-13.53,-12.5,-10.62,-9.46,NaN,-7.86,-6.68,-5.17,NaN,-3.28,-1.79,0.0300000000000011,2.04,NaN,4.82,NaN,7.28
-19.8,-13.43,-12.56,-10.75,-9.24,NaN,-7.71,-6.71,-5.48,-4.33,-3.04,-1.84,0.210000000000001,2.16,4.07,4.85,NaN,7.28
NaN,-13.57,-12.66,-10.61,-9.58,NaN,-7.83,-6.44,-5.6,-4.39,-3.24,-1.54,0.289999999999999,2.31,4.25,5.05,6.62,NaN
NaN,NaN,-12.93,-10.64,-9.34,NaN,-7.73,-6.49,-5.43,-4.43,-3.22,-1.9,0.169999999999998,2.69,4.17,5.14,NaN,7.28
-19.8,-13.53,-12.5,NaN,-9.67,NaN,-7.92,-6.58,-5.28,-4.35,-3.26,-1.87,0.309999999999999,2.31,NaN,4.72,NaN,NaN
-19.8,-13.66,-12.83,-11.13,-9.46,-8.44,-7.68,-6.53,-5.65,NaN,-3.29,-1.67,0.300000000000001,2.74,4.15,5.22,6.62,NaN
-19.8,-13.81,-12.56,-10.68,NaN,-8.59,-7.68,-6.45,-5.51,-4.39,-3.25,-1.9,0.0599999999999987,2.66,4.17,5.07,6.62,NaN
-19.8,NaN,-12.98,-11.12,-9.63,-8.65,-7.78,-6.45,-5.62,-4.35,-3.2,-1.92,0.349999999999998,2.69,4.18,4.69,6.62,NaN
-19.8,-13.91,-12.57,-10.65,-9.68,-8.55,-7.84,NaN,-5.63,-4.44,-3.2,-1.71,0.280000000000001,2.69,NaN,4.96,6.64,7.26
-19.8,NaN,-12.62,-10.7,-9.41,-8.26,-7.7,NaN,-5.53,NaN,-3.2,-1.96,0.140000000000001,2.78,3.68,5.06,6.62,NaN
NaN,-13.48,-12.51,NaN,-9.24,-8.67,-7.83,-6.59,-5.25,-4.54,-3.22,-1.96,0.239999999999998,2.54,NaN,5.29,NaN,7.28
-19.8,-13.83,-12.68,NaN,-9.81,NaN,-7.76,-6.26,-5.5,NaN,-3.31,-1.77,0.219999999999999,2.54,NaN,4.8,6.63,7.19
