-19.08,-17.23,-16.54,-14.78,NaN,-11.64,-10.2,-9.34,NaN,-7.4,-6.17,-5.16,-4.04,-1.78,-1.03,-0.0999999999999979,NaN,2.33,NaN,4.59,5.86,6.9,8.28,NaN,9.78,11.13,12.2,13.85,15.45,16.11,NaN,18.81
-19.05,NaN,-15.87,-14.8,-14.27,-12.12,-10.57,-9.38,-8.03,-7.04,-6.14,-5.26,-4.02,NaN,-1.02,0.16,1.32,2.35,2.75,4.83,NaN,6.72,7.98,NaN,NaN,10.83,12.38,13.72,15.3,NaN,17.59,NaN
-19.07,NaN,-15.87,-14.99,-14.12,-11.98,NaN,-8.95,NaN,-7.25,-6.04,-4.98,-4.17,-2.19,-0.919999999999998,NaN,1.25,2.31,NaN,4.73,5.9,7.02,NaN,8.54,9.66,NaN,12.1,14.12,15.25,16.76,NaN,NaN
-18.99,-17.23,-16.32,-14.89,-14.09,-12.03,NaN,-9.15,NaN,-7.41,-6.19,-4.96,NaN,-1.93,-1.04,0.18,0.809999999999999,2.11,NaN,4.69,NaN,6.79,NaN,8.82,NaN,11.27,12.16,13.77,NaN,16.12,17.05,NaN
-19.05,NaN,-16.23,-14.9,-14.1,NaN,NaN,-9.13,NaN,-7.36,-6.03,-4.98,-3.99,NaN,-0.989999999999998,0.169999999999998,NaN,1.86,NaN,4.59,NaN,6.91,7.89,NaN,NaN,11.07,11.87,13.77,15.42,16.78,NaN,NaN
-18.72,-17.37,-15.97,-14.72,NaN,-11.83,-10.88,-9.01,NaN,-7.02,NaN,-4.94,-4.04,-1.75,-0.879999999999999,NaN,NaN,NaN,2.87,4.9,NaN,6.93,NaN,8.92,NaN,NaN,11.94,13.58,14.94,16.45,17.59,18.81
-18.64,-17.25,-15.91,-14.86,NaN,-12.17,-10.3,-8.79,NaN,-7.38,NaN,-5.06,-4.04,NaN,-0.759999999999998,NaN,NaN,2.21,NaN,4.49,5.66,6.79,NaN,8.83,NaN,11,12.02,13.77,15.35,16.91,NaN,NaN
-19,-17.27,-16.01,-14.88,-13.98,-12.17,NaN,-9.33,-8.09,-6.99,NaN,-5.29,-4.11,-1.6,-0.960000000000001,0.0399999999999991,NaN,2.01,3.3,4.71,5.69,6.71,8.03,9.05,NaN,11.1,11.98,13.46,15.01,16.46,NaN,18.81
-19.11,NaN,NaN,-15.02,-13.6,-11.85,NaN,-8.93,NaN,-6.95,-6.1,-4.96,-3.88,NaN,-0.98,0.18,0.960000000000001,2.17,NaN,4.48,5.86,6.8,7.88,8.45,9.73,10.75,12.03,14.02,15.13,16.3,17.45,18.81
-18.64,NaN,-15.87,NaN,-14.17,-12.15,NaN,-9.07,-7.8,NaN,NaN,-5,-4.15,-1.73,-1.11,0.23,1.09,2.29,NaN,4.85,NaN,6.74,7.86,8.7,9.64,10.97,12.21,13.75,14.99,16.64,17.58,18.8
-18.99,-17.23,-16.42,-14.81,-13.6,-11.51,NaN,-9.13,NaN,NaN,-6.18,-5.09,-4.1,NaN,-1.1,0.169999999999998,1.33,NaN,2.95,4.45,NaN,6.83,NaN,8.75,9.62,11.12,12.16,13.59,NaN,NaN,17.26,18.81
-18.64,-17.27,-15.88,NaN,-14.12,-11.96,-10.36,-9.29,-7.92,-7.29,-6.03,-4.9,-3.59,NaN,-1.14,NaN,1.45,2.08,3.09,4.76,5.92,6.79,NaN,8.87,9.89,NaN,12.23,13.76,15.33,NaN,17.54,NaN
-19.08,NaN,-16.23,-14.8,-13.65,-12.05,NaN,NaN,NaN,-7.41,NaN,-5.38,-4.08,NaN,-1.17,0.169999999999998,1.22,2.18,NaN,4.49,5.62,6.9,NaN,8.45,NaN,11.02,12.32,13.7,15.33,16.1,17.41,NaN
-19.06,-17.27,-16.24,-14.82,-13.67,-11.77,NaN,-9.18,NaN,-7.35,NaN,-5.22,-3.6,-2.24,-1.07,0.0300000000000011,NaN,1.8,2.9,4.43,5.79,6.81,NaN,8.77,9.74,11,12.37,13.87,15.28,NaN,NaN,NaN
-19.05,-17.24,-16.61,-14.93,-13.77,-11.82,NaN,-9.18,-8.09,-6.75,NaN,-5.16,-4.24,NaN,-1,-0.0300000000000011,0.800000000000001,2.24,3.39,4.43,5.88,6.82,8.2,NaN,NaN,11,11.99,13.69,15.25,NaN,17.58,NaN
-19.09,-17.25,-15.91,NaN,-14.21,-11.6,NaN,-9.29,-7.95,-7.45,NaN,-5.2,-4.2,NaN,-1.14,NaN,NaN,1.85,2.85,4.46,5.86,6.89,NaN,8.49,NaN,10.94,12.38,13.85,15.26,16.09,17.45,18.81
-18.67,-17.79,-15.91,-14.74,-14.08,NaN,NaN,-9.11,-8.1,NaN,-6.22,-4.93,-4.23,-1.91,-0.66,-0.169999999999998,NaN,1.96,NaN,4.77,NaN,6.87,NaN,8.78,NaN,10.98,12.15,13.92,15.3,NaN,17.45,NaN
-18.72,-17.37,-15.97,-14.97,-13.57,-12.06,-10.75,-9.14,NaN,-7.37,NaN,-5.08,-3.85,-1.9,-0.949999999999999,NaN,1.02,1.86,3.03,4.89,6,6.79,7.93,NaN,NaN,11.16,12.34,14.18,NaN,16.76,NaN,NaN
-19.08,NaN,-16.23,-14.85,-14.09,-12.3,NaN,-9.13,-8.1,-6.99,NaN,-5.06,-4.13,NaN,-1,0.0199999999999996,1.15,NaN,2.83,4.73,NaN,6.87,NaN,8.58,9.8,NaN,11.89,13.7,14.93,16.3,17.45,NaN
-19.08,-17.23,-16.6,-14.78,-14.15,-12.06,-10.34,-9.14,-7.88,-6.91,-6.09,-5.09,-4.11,NaN,-0.739999999999998,0.00999999999999801,1.31,2.01,2.89,4.74,5.85,6.73,7.82,NaN,9.89,NaN,12.5,13.84,15.47,16.86,NaN,NaN
-19.05,-17.25,-16.52,-14.87,-13.87,-12.14,-10.39,-9.33,NaN,-7.24,-6.26,-4.78,-3.66,NaN,-1.04,0.289999999999999,0.759999999999998,2.37,NaN,4.53,5.67,6.9,NaN,NaN,9.4,10.76,12.32,13.69,15.58,16.91,NaN,NaN
-18.82,NaN,-16.05,-14.89,NaN,-12.09,-10.33,-9.27,-8.06,-7.17,-6.09,-5.01,-3.86,NaN,-1.1,0.169999999999998,0.93,NaN,2.58,4.41,NaN,6.91,NaN,8.88,9.82,NaN,12.08,13.78,15.06,16.38,17.56,NaN
-18.64,-17.37,-15.88,-14.93,NaN,-11.97,NaN,-9.36,-8.15,-7.22,NaN,-4.97,-4.01,-1.89,-0.890000000000001,0.0700000000000003,1.21,2.46,NaN,4.8,NaN,6.75,NaN,8.98,NaN,11.01,12.08,13.76,15.06,16.62,NaN,18.81
-18.99,NaN,-16.23,-14.76,NaN,-11.9,NaN,-9.29,-7.87,-7.33,-5.96,-5.02,-3.85,-2.1,-1.03,0.00999999999999801,NaN,2.43,NaN,4.96,5.78,6.68,7.77,NaN,NaN,11.03,12.48,14.02,NaN,16.64,17.58,NaN
