-11.54,NaN,-7.9,-6.65,-6.06,-5.27,-4.34,-3.37,-2.64,NaN,-0.00999999999999801,NaN,2.37,3.37,5.16,6.63,7.89,9.64,11.21,12.17,18.97
NaN,-9.08,-8.12,-6.81,NaN,-5.28,-4.36,-3.47,-2.62,NaN,-0.0199999999999996,1.41,2.26,3.3,5.17,NaN,7.77,9.63,11.03,12.4,18.97
NaN,-9.06,-7.87,-6.78,NaN,-5.35,-4.33,NaN,-2.73,NaN,-0.109999999999999,1.48,NaN,3.37,5.2,6.46,7.84,9.22,NaN,NaN,18.97
NaN,-9.07,-7.87,-6.81,-5.99,-5.41,-4.36,-3.32,-2.4,-1.08,-0.0300000000000011,NaN,2.44,3.56,5.07,6.35,8.13,9.71,11.21,12.3,18.97
NaN,-9.05,-8.2,NaN,-6.24,-5.19,-4.28,NaN,-2.69,NaN,-0.109999999999999,NaN,2.32,3.11,5.1,6.89,7.85,NaN,11.03,NaN,18.97
-11.54,-9.09,NaN,-6.77,-6.07,-5.11,-4.35,-3.19,-2.68,NaN,0,NaN,2.5,3.13,5.27,7.19,8,9.81,11.21,11.92,NaN
-11.54,NaN,-8.39,-6.84,NaN,-5.22,-4.43,-3.42,NaN,-1.14,-0.0799999999999983,1.46,NaN,2.95,5.25,6.6,7.82,9.27,11.03,NaN,18.97
-11.54,NaN,-8.11,-6.71,NaN,-5.22,-4.4,-3.45,NaN,NaN,0,NaN,NaN,3.29,5.4,6.47,NaN,9.69,11.11,11.91,18.97
NaN,-9.09,-7.96,-6.8,-5.93,-5.36,-4.35,-3.46,NaN,NaN,-0.0199999999999996,NaN,2.22,3.56,5.08,6.72,7.75,9.87,11.03,NaN,18.97
-11.54,NaN,-8.45,NaN,-6.14,-5.1,-4.31,-3.32,NaN,NaN,-0.00999999999999801,1.36,2.18,3.26,5.14,6.7,7.86,9.93,11.21,12.17,18.97
NaN,NaN,-7.96,-6.69,-5.93,-5.36,-4.37,-3.34,NaN,NaN,0.0399999999999991,1.36,2.44,3.13,5.04,6.61,7.92,9.39,11.28,11.92,18.97
-11.54,-9.08,-7.8,-6.75,NaN,-5.2,-4.34,-3.33,-2.67,NaN,-0.120000000000001,1.54,2.42,3.38,5.07,6.62,7.44,9.7,11.21,11.92,18.97
-11.54,-9.08,-7.82,-6.8,-5.97,-5.11,-4.29,-3.51,-2.38,NaN,-0.0700000000000003,NaN,NaN,3.17,5.05,NaN,7.7,9.45,11.08,12.17,18.97
-11.54,-9.09,-7.96,-6.73,-6.07,-5.22,-4.33,-3.4,NaN,NaN,0.00999999999999801,NaN,2.37,3.03,5.16,6.79,8.03,9.18,11.03,12.4,18.97
NaN,NaN,-7.96,-6.71,NaN,-5.31,-4.35,NaN,NaN,NaN,0.00999999999999801,NaN,NaN,3.57,5.16,6.56,7.97,9.64,11.43,12.17,18.97
-11.54,NaN,-8.46,NaN,-5.99,-5.26,-4.38,-3.4,NaN,NaN,0.0700000000000003,NaN,2.34,3.58,5.15,6.7,NaN,9.71,11.11,12.17,18.97
NaN,NaN,-8.11,NaN,-6.03,-5.35,-4.36,-3.32,NaN,NaN,-0.109999999999999,NaN,2.33,3.58,5.21,6.55,7.9,9.54,11.32,11.92,18.97
-11.54,NaN,-8.29,NaN,-6.02,-5.28,-4.32,-3.3,NaN,NaN,-0.0500000000000007,NaN,NaN,3.15,5.18,6.53,7.97,10.08,11.43,11.92,18.97
-11.54,NaN,NaN,NaN,-6.11,-5.03,-4.28,NaN,-2.51,NaN,-0.169999999999998,NaN,2.38,NaN,5.11,6.79,7.88,9.36,11.32,11.92,NaN
-11.54,NaN,-8.12,-6.69,NaN,-5.25,-4.4,-3.36,NaN,NaN,-0.0799999999999983,1.63,2.3,3.39,5.17,6.69,7.73,9.75,11.03,12.4,18.97
-11.54,NaN,-7.82,NaN,-6.07,-5.33,-4.32,-3.39,NaN,NaN,-0.0799999999999983,NaN,2.32,3.51,5.14,6.64,7.79,NaN,11.32,11.95,NaN
-11.54,-9.05,-8.11,NaN,-6.13,-5.27,-4.3,NaN,-2.81,NaN,-0.0899999999999999,NaN,2.39,3.19,5.25,6.71,7.72,9.15,11.21,11.92,18.97
NaN,-9.09,-7.87,-6.73,-6.07,-5.36,-4.35,-3.38,NaN,NaN,0,NaN,2.41,3.22,5.28,NaN,7.55,9.42,11.21,11.92,NaN
-11.54,NaN,-7.87,-6.78,NaN,-5.2,-4.38,-3.29,NaN,NaN,-0.0999999999999979,NaN,2.38,3.66,5.16,6.45,7.86,9.97,11.43,11.92,18.97
-11.54,-9.05,-8.3,NaN,-6.09,-5.34,-4.33,-3.35,-2.51,-1.07,-0.0399999999999991,1.43,NaN,3.13,5.21,6.73,8,10.07,11.43,12.17,18.97
-11.54,NaN,-7.87,-6.74,-6.15,-5.21,-4.3,-3.47,NaN,NaN,-0.0399999999999991,1.55,NaN,3.74,5.22,7.19,8.07,9.75,11.43,12.33,18.97
NaN,-9.09,-7.96,-6.78,-6.07,-5.36,-4.32,-3.5,NaN,NaN,-0.00999999999999801,NaN,2.3,3.33,5.16,6.59,7.94,9.99,11.11,12.17,18.97
