NaN,-12.26,-10.73,-9.37,NaN,-7.44,-6.62,NaN,-5.04,-3.21,-1.86,0.349999999999998,0.949999999999999,1.93,2.92,3.88,4.9,NaN,6.6,NaN,8.23,10.03,NaN,NaN
-14.02,-12.28,-10.68,-9.44,-8.27,-7.22,NaN,NaN,-4.97,-3.39,-1.88,0.309999999999999,NaN,2,NaN,3.95,4.93,6.15,6.67,7.56,8.94,9.95,NaN,NaN
-14.02,-12.28,-10.68,-9.59,-8.43,-7.57,-6.75,NaN,-5.01,NaN,-1.73,0.32,NaN,2.04,2.77,4,4.88,6.05,NaN,7.62,NaN,9.95,NaN,11.9
NaN,-12.22,-10.6,-9.09,NaN,-7.68,-6.78,NaN,-4.85,NaN,-1.99,0.0999999999999979,1.04,1.97,NaN,NaN,4.86,6.13,6.59,7.52,9.02,9.97,10.61,11.9
-14.02,-12.16,-11.16,-9.15,NaN,-7.31,NaN,-6.2,-5.03,-3.48,-1.98,-0.0500000000000007,0.989999999999998,2.13,3,3.76,4.81,6.02,6.79,7.37,8.64,10.07,10.61,NaN
-14.02,-12.29,NaN,-9.69,-8.46,NaN,-6.9,NaN,-5.14,-2.77,-1.85,NaN,0.759999999999998,2.17,NaN,3.93,5.07,NaN,7.02,NaN,NaN,10.07,10.61,NaN
NaN,-12.2,-10.75,NaN,-8.59,-7.31,-6.71,NaN,-4.85,-2.96,-1.76,0.57,NaN,1.94,2.67,3.68,NaN,NaN,6.59,7.5,NaN,NaN,NaN,NaN
NaN,-12.18,-10.65,-9.25,-8.46,-7.62,-6.74,-6.12,-4.78,-2.96,-1.74,0.25,NaN,2.06,2.82,3.82,4.89,6.07,6.96,7.67,NaN,9.85,NaN,NaN
-14.02,-12.26,-10.68,-9.45,-8.68,-7.61,NaN,-6.18,-4.81,-3.6,-1.82,0.210000000000001,0.879999999999999,2.18,NaN,4.02,4.94,5.98,6.96,7.68,8.67,10.03,NaN,11.9
NaN,-12.17,-10.42,-9.05,NaN,-7.49,-6.78,NaN,-5,-3.25,-1.83,0.349999999999998,0.98,2.15,2.84,3.91,5.09,6.04,6.96,NaN,8.37,9.81,10.61,11.9
NaN,-12.28,-10.71,-9.17,-8.49,NaN,-6.92,-6.04,-4.81,-3.2,-1.87,NaN,0.93,2.05,2.78,3.88,5.11,5.93,NaN,7.35,9.12,9.68,10.65,11.9
NaN,-12.27,-10.76,-9.42,-8.54,-7.42,-6.69,-6.11,-4.8,-3.21,-1.85,NaN,NaN,2.15,NaN,3.96,4.92,5.98,6.64,NaN,9.06,9.99,10.56,NaN
NaN,-12.14,-10.72,-9.09,NaN,NaN,-7,-6.01,-4.95,-2.73,-1.84,0.140000000000001,NaN,1.96,NaN,3.96,5.17,6.09,6.79,7.58,8.73,9.96,NaN,11.9
-14.02,-12.18,-10.54,-9.57,-8.48,NaN,NaN,-6.14,-4.91,-3.01,-1.78,0.349999999999998,0.849999999999998,2.16,NaN,3.97,4.98,NaN,6.55,NaN,8.85,NaN,10.65,11.9
-14.02,-12.19,-10.26,NaN,-8.57,-7.2,NaN,NaN,-4.81,-2.71,-1.84,-0.169999999999998,1.2,2.28,NaN,4.18,4.95,NaN,7.03,NaN,8.78,9.86,10.61,11.9
