NaN,-13.7,NaN,-11.2,-10.3,-9,NaN,-7.1,-4.8,-3.4,-2.1,-1.1,NaN,2.1,3.7,5,7,8.1,NaN,10.6,12,12.9,NaN,NaN,NaN,NaN
NaN,-13.8,NaN,NaN,-10.3,-9.2,-8.1,-7,-5.2,NaN,-2.7,-1.1,0.0999999999999979,2.2,4,5.1,7,8.5,9.8,11,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-13.6,NaN,-11.3,-10,-8.9,-8,-7.1,-5.2,NaN,-2.5,-1,0.0999999999999979,2.5,3.9,5.1,7,7.9,NaN,10.7,12.1,13.2,14.6,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.2,-10.2,-8.9,-7.8,-7.1,-4.7,NaN,-2.1,-1.1,NaN,2,4,5.1,7.2,8,NaN,10.6,12,13.6,14.2,NaN,NaN,NaN
NaN,-14.2,-12.6,-11.1,-10.6,-9.1,-8,-7.1,-5.1,-3.3,-2.5,NaN,0.0999999999999979,NaN,3.9,5,7,NaN,9.3,10.4,12,13.1,14.3,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.8,-9.8,-9.1,NaN,-7.1,-5.1,-3.9,-2.5,-1.1,0.0999999999999979,2,3.9,5.1,7.1,8.4,9.6,10.5,12,13.2,14.3,NaN,NaN,NaN
NaN,-13.9,-12.5,-11.2,-10.3,-8.8,NaN,-7.1,-5,-3.2,NaN,-1.1,NaN,1.9,4,5,6.8,NaN,9.7,10.8,12,NaN,14.7,NaN,NaN,NaN
NaN,-14.3,-12.6,-11.2,NaN,-9,-8.2,-7.1,-5,-3.9,-2.4,-0.899999999999999,0.199999999999999,2.2,3.8,5.1,6.9,8.2,9.6,10.8,12.1,NaN,14.2,NaN,NaN,NaN
NaN,-13.8,NaN,-11.4,-10.3,-9,-8.1,-7,-5,NaN,-2.4,-1.1,NaN,2.1,4,5.2,7.2,8.5,9.4,NaN,12.2,NaN,14.5,NaN,NaN,NaN
-16.4,-13.6,NaN,-11.5,NaN,-9.3,-8,-7,-5.1,-3.5,-2.6,NaN,0.199999999999999,2.4,3.8,5,7.2,NaN,NaN,10.6,12.1,NaN,14.6,NaN,NaN,NaN
NaN,-13.7,NaN,-11.1,-10.2,-9,NaN,-7.1,-5.1,-3.3,-2.3,-1.1,0.0999999999999979,2.5,3.9,5,7.2,8.4,NaN,10.7,12.1,13.2,14.3,NaN,NaN,NaN
