-8.66,-7.87,-6.37,-5.48,-4.35,NaN,NaN,NaN,NaN,0.0899999999999999,1.68,3.07,NaN,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.44,-4.79,-3.9,NaN,NaN,NaN,0.169999999999998,1.62,NaN,NaN,5.82,NaN,NaN,NaN
-8.67,NaN,-6.37,-5.54,NaN,-4.26,-3.03,NaN,NaN,-0.00999999999999801,1.87,NaN,3.86,5.82,7.83,12.23,17.37
NaN,-7.86,NaN,-5.5,NaN,-4.18,NaN,NaN,NaN,0.149999999999999,1.71,3.04,4.41,NaN,7.83,NaN,17.37
NaN,-7.86,-6.37,-5.45,-4.59,NaN,-2.98,NaN,NaN,0.0799999999999983,1.64,NaN,3.91,NaN,7.83,12.23,17.37
NaN,-7.86,-6.36,-5.48,NaN,-4.28,-3.24,NaN,NaN,0.25,1.65,3.18,4.01,5.82,7.83,12.23,17.37
-8.67,NaN,NaN,-5.46,NaN,-3.98,NaN,NaN,NaN,0.329999999999998,1.74,3.31,NaN,NaN,7.83,12.23,17.37
-8.66,-7.87,-6.36,-5.52,NaN,-4.24,-3.03,NaN,-0.98,0.300000000000001,1.81,3.22,NaN,5.82,7.83,12.23,17.37
NaN,NaN,-6.36,-5.43,-4.83,-4.02,NaN,NaN,NaN,0.0599999999999987,1.68,NaN,3.87,5.82,7.83,12.23,17.37
NaN,-7.86,-6.36,-5.51,-4.51,NaN,NaN,-2.21,NaN,-0.0399999999999991,1.62,NaN,4.2,NaN,NaN,12.23,NaN
-8.66,-7.87,-6.36,-5.49,-4.38,NaN,NaN,NaN,NaN,0.190000000000001,1.74,3.27,NaN,5.82,NaN,12.23,NaN
-8.66,-7.87,NaN,-5.51,-4.67,NaN,-3.22,NaN,NaN,0.140000000000001,1.89,NaN,3.93,5.82,7.83,12.23,17.37
NaN,-7.86,NaN,-5.45,-4.78,-3.71,NaN,NaN,NaN,0.259999999999998,NaN,3.05,NaN,5.82,7.83,NaN,17.37
-8.67,NaN,-6.36,-5.51,NaN,-4.01,-3.1,NaN,NaN,0.129999999999999,1.78,NaN,NaN,NaN,NaN,NaN,NaN
-8.66,-7.87,-6.37,NaN,-4.74,NaN,-3,NaN,NaN,0.0300000000000011,1.61,NaN,3.97,5.82,7.83,NaN,17.37
-8.66,-7.87,-6.37,-5.46,NaN,-4.01,NaN,-2.19,NaN,0.0199999999999996,1.72,3.2,NaN,5.82,7.83,12.23,17.37
-8.67,NaN,-6.37,-5.42,NaN,-4.18,-3.14,NaN,NaN,0.16,1.65,NaN,NaN,5.82,7.83,12.23,17.37
NaN,NaN,-6.37,-5.44,-4.89,NaN,-3.28,NaN,NaN,0.120000000000001,NaN,3.19,3.93,NaN,NaN,NaN,NaN
