i,N,boot,peaks_splithalf,peaks_spearmanbrown,jsd
2,6500,2,0.592931487309315,0.7444532197814226,6.225861937813254e-4
2,7000,2,0.48603206907493757,0.6541340246815737,5.482789266683425e-4
2,7500,2,0.5220730988307685,0.6860026620690116,5.672407156286269e-4
2,8000,2,0.17566059581762833,0.29882875456153724,5.191971701509622e-4
2,8500,2,0.11260874508997473,0.20242290128839185,7.1402422053992e-4
2,9000,2,0.5935671515736765,0.7449540497713173,2.8447904863846703e-4
2,9500,2,0.5445472524372892,0.7051221664834091,3.7174619159989063e-4
2,10000,2,0.6644747264994414,0.7984197247583313,2.663685299894136e-4
2,10500,2,0.3743179248675978,0.544732653332248,4.650739336076864e-4
2,11000,2,0.3098078786443243,0.4730585052900754,4.271381836826203e-4
2,11500,2,0.6127794358238058,0.759904822956524,2.698184734761321e-4
2,12000,2,0.5159057050914994,0.6806567233815635,3.3120976270429865e-4
2,12500,2,0.5715885523785713,0.7274022854308556,2.516280808374132e-4
2,13000,2,0.4341103863418189,0.6054072133863607,3.9009387146046205e-4
2,13500,2,0.7577249681502446,0.8621655627360659,2.1152617550926998e-4
2,14000,2,0.5594524191038617,0.7174985427581697,3.346380152994783e-4
2,14500,2,0.5185226458547346,0.6829304090659413,3.6783529162531467e-4
2,15000,2,0.5738799129075566,0.7292550190152456,2.4627436283419487e-4
3,500,3,0.021367602213960828,0.04184115918234235,0.01656957928972652
3,1000,3,-0.0017080549696882235,-0.0034219548263235973,0.003892266562804377
3,1500,3,-0.3317357246343448,-0.9928279480534209,0.006032493534364098
3,2000,3,-0.006799259435458464,-0.013691611690892865,0.0031081967843609153
3,2500,3,-0.3202670172759992,-0.9423318432851172,0.0030679559850851357
3,3000,3,0.21671191812336696,0.35622552042988,0.001331369575528215
3,3500,3,0.04594449764722739,0.08785264944856261,0.0011815473830303095
3,4000,3,0.3575070315664489,0.5267111304077974,0.001013576804627504
3,4500,3,0.4977541535137919,0.6646673652629044,5.640166903811046e-4
3,5000,3,0.24699555508293924,0.396145044905972,7.055425197832522e-4
3,5500,3,0.20635597600195582,0.3421145666900916,8.615357716118235e-4
3,6000,3,0.23835356926071316,0.38495236768770047,9.942837702989126e-4
3,6500,3,0.36849275267894105,0.5385381134939664,5.694530699259697e-4
3,7000,3,0.2977234815800025,0.45883963079333145,4.4684339975557005e-4
3,7500,3,0.5264170946395859,0.6897421373073422,4.208545225321491e-4
3,8000,3,0.43897929545263403,0.6101259369608263,5.160293965609363e-4
3,8500,3,0.40891424146308464,0.5804671844873232,5.722300175839345e-4
3,9000,3,0.4403039853131374,0.6114042449412659,5.478334452742252e-4
3,9500,3,0.5360632032012659,0.6979702424796996,4.3096556958259187e-4
3,10000,3,0.33516968641173717,0.5020630558389986,5.325287469912308e-4
3,10500,3,0.4900377567512294,0.6577521335025394,2.928860672801939e-4
3,11000,3,0.477339246821789,0.6462148052300005,5.034511291827049e-4
3,11500,3,0.43489925058463996,0.606173918353422,3.1423953341818637e-4
3,12000,3,0.4443943338162241,0.615336578678058,3.8436312370115753e-4
3,12500,3,0.3127199448779884,0.4764457889105271,4.0179241557406116e-4
3,13000,3,0.49875087040731514,0.6655554038434283,3.1167330581086e-4
3,13500,3,0.6361023423829066,0.7775825825864332,2.650708528185073e-4
3,14000,3,0.49428664553044266,0.6615687117447008,3.0028440840648376e-4
3,14500,3,0.3959608430824162,0.5672950570849773,3.063178737463859e-4
3,15000,3,0.5537626159405578,0.7128020847706418,2.3008310232688922e-4
4,500,4,0.16365149781050337,0.2812723536530066,0.007760170804117339
4,1000,4,-0.07446196305463622,-0.16090524663986738,0.006235950200947459
4,1500,4,0.028522725372428316,0.055463481105097086,0.0033901484948081167
4,2000,4,0.2191612801150938,0.35952795366730167,0.002011481405158252
4,2500,4,-0.11588337542375501,-0.262144998074881,0.002043210067760856
4,3000,4,0.20074769310001295,0.33437114933235557,0.0017631623120424513
4,3500,4,0.4076445564571084,0.5791867763593764,8.637159574224109e-4
4,4000,4,-0.11046493259733314,-0.24836554880265077,0.0015215212213579724
4,4500,4,0.3968442210515675,0.5682011137259337,0.0010428602833867633
4,5000,4,0.2956602436912567,0.4563854531014068,8.588542204101958e-4
4,5500,4,0.20712811836219475,0.34317503703454727,9.793443785693948e-4
4,6000,4,0.1451917607365801,0.2535675957766125,7.009228347539379e-4
4,6500,4,0.21839744982945106,0.35849951895421633,7.005917378462191e-4
4,7000,4,0.49190363641194806,0.6594308431273539,6.185356259349638e-4
4,7500,4,0.6514917138306008,0.7889736392554816,3.8842772411504375e-4
4,8000,4,0.4416514237577934,0.6127020949441293,5.308077404980319e-4
4,8500,4,0.4685845588883761,0.6381444719030198,4.047430691382991e-4
4,9000,4,0.30498147295512956,0.4674111920753929,5.973787753443718e-4
4,9500,4,0.46951907721225306,0.6390105232290728,4.685734094643884e-4
4,10000,4,0.4956503910743094,0.6627891036999485,4.226924214887286e-4
4,10500,4,0.4223935356982127,0.5939193691440277,4.548035087364114e-4
4,11000,4,0.4049502550584128,0.5764620542263632,4.353581788105952e-4
4,11500,4,0.6117747688785221,0.7591318349079218,2.9093400667484727e-4
4,12000,4,0.45680758236441416,0.6271350971732459,3.982774848182252e-4
4,12500,4,0.5456239360415432,0.7060241800329856,0.00031125410807645887
4,13000,4,0.5363876171302995,0.6982451708796986,3.848983587940603e-4
4,13500,4,0.4492557978947176,0.619981370503862,2.9060534513903626e-4
4,14000,4,0.13199706390123445,0.2332109651350669,5.815566223146204e-4
