i,N,boot,entropy.cor.r,entropy.cor.sp,peaks_splithalf,peaks_spearmanbrown,jsd
955,350,955,0.8852946770244474,0.6909090909090909,0.6467352198047343,0.7854756636363465,0.019977973891299818
955,400,955,0.9546605792948318,0.8181818181818182,0.6021268277934206,0.7516593784559724,0.01777323922135706
955,450,955,0.9786336911826762,0.9,0.6679503410270075,0.8009235342291189,0.009236756743996564
955,500,955,0.9633209858019779,0.9,0.6340306664010399,0.7760327629560287,0.011569752477184506
955,550,955,0.9457122411274265,0.890909090909091,0.5851452806286306,0.7382859953335962,0.010892858557424188
955,600,955,0.9758368683054005,0.9,0.7203828659763634,0.83746807786013,0.008234797924881108
956,50,956,0.4878662443392097,0.3280190742563077,0.17021046945072152,0.29090573686392607,0.12032973321423131
956,100,956,0.7489246990795908,0.7000000000000001,0.45892213011708555,0.6291249144054794,0.07147889267634477
956,150,956,0.7763667090589773,0.8090909090909091,-0.050468951117177654,-0.10630289799697917,0.04234994373415801
956,200,956,0.7275492085418525,0.41818181818181815,0.3959367243582122,0.5672703030866185,0.023516352093323936
956,250,956,0.8476430974436934,0.7727272727272727,0.22356202329144567,0.365428182692451,0.021686056913728474
956,300,956,0.8713612305166655,0.7272727272727273,0.5356727710124065,0.6976392121080056,0.026176907455216208
956,350,956,0.9519730320484212,0.8818181818181817,0.46200970110320067,0.6320200211456575,0.012648827195762954
956,400,956,0.9541415683407724,0.9636363636363636,0.6991556837962247,0.8229448195520059,0.014308439876206749
956,450,956,0.967925108472235,0.7727272727272727,0.5055847534453063,0.6716124778606464,0.011891339405931643
956,500,956,0.9889158143254069,0.990909090909091,0.7420305188694926,0.8519144881009783,0.012589399643564154
956,550,956,0.9558804169664579,0.9545454545454546,0.628413597983096,0.7718107964235009,0.01108497996470118
956,600,956,0.9714204005578955,0.9727272727272727,0.5028536311059063,0.6691984112063807,0.012830508454517147
957,50,957,0.29334006941625634,0.3909090909090909,-0.10927664991334085,-0.2453660834258117,0.1562220102699417
957,100,957,0.7699517202834182,0.6909090909090909,-0.07884209495369972,-0.17118041222202152,0.045387215947578406
957,150,957,0.7535827231069842,0.5727272727272728,0.5288606345731997,0.6918362898667185,0.03018691472109921
957,200,957,0.9081936762293134,0.8181818181818182,0.45903629453177414,0.6292321805182859,0.029584832485273233
957,250,957,0.92718488698949,0.9727272727272727,0.379562035241668,0.5502645412754886,0.027004082433279994
957,300,957,0.9312015483425434,0.8090909090909091,0.5333928018392471,0.6957027595270598,0.01828986883362877
957,350,957,0.8979721267026715,0.8181818181818182,0.6805743960050346,0.8099306970555509,0.015299610707062112
957,400,957,0.9763688964280125,0.9272727272727272,0.6127461390155765,0.7598792199119423,0.016770202435428514
