"boot","degree","mean_error_interval","mean_abs_int_size","melcon","interval_entropy_0.25"
25,2,1.71859851566954,7.39798181420386,-0.135646914560762,6.4440333271074
25,3,1.55074024987944,7.52024973919319,-0.113460473133837,6.3965402988881
25,4,1.64480136743586,7.7126761094267,-0.109597027831982,6.34278676332879
25,5,1.51510165498611,7.82508051070231,-0.121298828951314,6.32525399463105
25,6,1.75779463283366,7.9179082164231,-0.129008550708306,6.27507193974328
25,7,1.52862928845539,8.01326357490669,-0.105348566951943,6.31180960807805
25,8,1.56898832388019,8.19944689678174,-0.115750458556708,6.35367353916583
25,9,1.29181347677767,8.46873054292813,-0.129642692076298,6.3055056744467
25,10,1.26350331472759,8.28087252592085,-0.150477240449232,6.29747841615745
26,0,1.62021550022481,7.53251944854631,-0.0938140554967832,6.46981951997715
26,1,1.61232559175842,7.46973326426557,-0.119405066022749,6.46990191171846
26,2,1.7453922687349,7.57748908009646,-0.111140498772603,6.42782178187104
26,3,1.67608385711877,7.63885161540157,-0.0549438307748198,6.35131062818611
26,4,1.5565138844328,7.8003175520162,-0.110513472681287,6.29717432971549
26,5,1.8060257305233,7.8920273089818,-0.0737596458792892,6.2435876519999
26,6,1.64929211430137,8.15531258366221,-0.131589077705155,6.32486220681824
26,7,1.64640382540656,8.28479959310897,-0.116311724847337,6.2441240720289
26,8,1.60049869658925,8.53756055674352,-0.0883133927919796,6.38590645045734
26,9,1.26984880385454,8.69277333135686,-0.0990801787621606,6.23140862618219
26,10,1.23605168642079,8.56435461941406,-0.135301458974252,6.24241921676036
27,0,1.46665023808047,7.39598235018451,-0.0937638032386594,6.47812000892714
27,1,1.63563674653348,7.50457505716088,-0.113782520492034,6.38118561165003
27,2,1.85430201525621,7.70737593701656,-0.116116119129349,6.40194150631436
27,3,1.59953064733137,7.89010017454804,-0.114054698243503,6.38621206668301
27,4,1.51185217689564,8.05279001044332,-0.0890252995067974,6.23550961575703
27,5,1.76756530548043,8.15379413530012,-0.106895311533606,6.34382537680828
27,6,1.58423008332715,8.35299473665336,-0.118816670399236,6.36052815976359
27,7,1.47334897770374,8.53467759166804,-0.113522212110687,6.26396629778815
27,8,1.56571545174865,8.63692314226333,-0.0980444176522859,6.36639762334464
27,9,1.35405610922389,8.70972729955271,-0.102511954606377,6.19839495787032
27,10,1.21496271769158,8.54955527643457,-0.124402595907575,6.16891051160525
28,0,1.56178833029834,7.06344880332524,-0.112696126518368,6.4375159278579
28,1,1.73781816302223,7.1373494326926,-0.11504678596651,6.44263109709864
28,2,1.76775283574272,7.31121631953296,-0.129616555572513,6.45160879593286
28,3,1.80805488669456,7.24141717080554,-0.0986515019808437,6.4604931918911
